Run #,1-PFA-0-1,1-PFA-1-1,1-PFA-2-1,1-PFA-3-1,1-PFA-4-1,1-PFA-5-1,1-PFA-6-1,1-PID-1-1,1-PID-2-1,1-PID-3-1,1-PID-4-1,1-PID-5-1,1-PID-6-1,1-PFA-0-2,1-PFA-1-2,1-PFA-2-2,1-PFA-3-2,1-PFA-4-2,1-PFA-5-2,1-PFA-6-2,1-PID-1-2,1-PID-2-2,1-PID-3-2,1-PID-4-2,1-PID-5-2,1-PID-6-2
1,1022.3045421538349,1024.0632804451145,1030.9768844654898,1031.1594598613588,1106.1341388612866,1156.050806375752,1280.586948460886,0.050994083461908424,0.03112836086225448,0.03905035402116111,0.05230689176224262,0.04839241636058971,0.06481344361094603,588.9143619290302,551.9443061134044,626.7044905057519,668.8276273045745,770.3564070919177,753.3764916534917,805.8796555622038,0.09954251464750868,0.07058047351414659,0.05105102360759656,0.036398648721186026,0.029306191806411436,0.05065209767389301
2,1508.2178153383434,1156.1005770826814,1188.8689311913172,1672.0902428551803,1815.2901314462677,1866.9715020606764,1623.7867346536364,0.05837165940494371,0.0308681490197736,0.025620816280794687,0.03015405251810154,0.032893798922319466,0.04841191133378474,633.1681231718321,498.93595747572044,815.3260481145721,1121.681271373167,932.68474026543,918.0036945956479,982.6511682127946,0.040967444112498794,0.04341859666451178,0.026094643567374357,0.02210927735410306,0.02909005188620534,0.07558978998618705
3,838.9279410474718,686.0118785358263,851.288059338623,1194.669746510515,1373.2013382133869,1161.5967684933225,1276.103452108416,0.08655143951243946,0.050382628195919696,0.03073162549866149,0.04116622825946707,0.05199992207232622,0.0876997752589442,577.3798265817805,786.8591106845171,801.6383320559381,768.5954943754324,816.4413950493869,711.4691891224634,706.8130971272017,0.14053802154092143,0.06774172214724293,0.03137082798605078,0.03567511111918818,0.024925745082344235,0.048574622625213656
4,952.109156921799,1035.3750072923933,1263.1748841759393,1470.6915829448862,1240.2970946505834,1472.4768161266127,1199.9330256458813,0.03395476137657492,0.023029078296258523,0.018830507600115207,0.033783306151187055,0.05144415939115864,0.039162234545853485,834.5688951292888,807.7329453908039,923.7000472402962,1300.391013667056,1405.837249425735,1110.0828022007809,1108.375010626013,0.046793219455347854,0.02910450157648241,0.026968864506324658,0.03103594962568049,0.029193948021348958,0.053480446584743935
5,549.1679056370546,873.3407843916962,1088.7501501997924,1200.7123582060779,797.3540407187647,1008.850019438599,774.7846254900892,0.05515400178695507,0.03328277739275712,0.020564763977098773,0.022722446181635585,0.03252266424157645,0.034648504289631676,691.7389120045606,461.5273528263259,759.4293201386962,1000.8863371986737,1225.58541732529,958.1883049050698,952.0484520777295,0.07110350973833571,0.054810533603085916,0.024883232611153213,0.022039219472828206,0.0365955615268538,0.06502998348448893
6,779.248929219409,864.3990793786008,1055.3405483378046,1389.140289231325,1332.8267119083132,1242.365417739514,1117.0291906530217,0.09124817227066202,0.05395899625613485,0.01923639052030058,0.01940329581782057,0.025730036565403056,0.06368822810274395,583.9243998961224,598.037872152623,795.0388257011859,960.0430492428694,1063.4078265644062,899.3439549616543,854.2655336030617,0.07756134711725882,0.05191366791556052,0.016625928114869553,0.014685277469629074,0.021633120064139446,0.04830487428069362
7,999.1324155931303,995.2089210602684,1165.496182532943,1166.4758355746221,1379.5165265473413,1330.8085598465782,1275.560088347618,0.07139765890569541,0.050257721668057274,0.021259255426675727,0.02497697947171422,0.027975675480359362,0.06231572034562765,647.4605481276022,768.4666239063802,785.5682212947565,1374.30287905256,1241.122724561483,1187.6136226044134,889.1127673671415,0.048558829972356256,0.01225748366020214,0.01284327953459421,0.0257149374096158,0.022272205134035366,0.03498310011415854
8,912.6448145041136,914.3092889309321,1035.768893080195,1407.2636690579998,1390.2022636776012,1385.5040195360812,1128.7281035193166,0.06732386264273443,0.037647769039260294,0.03196453853335491,0.029235176238706348,0.027584326644274428,0.0533348122000061,509.4747418429504,631.6387206923647,736.3813636780121,837.6100368279259,856.9272791995087,785.0369585074383,764.240602468007,0.058008989791612904,0.039187802205033435,0.019322560283242942,0.016269312841040297,0.01562697310500022,0.048747835443705305
9,961.5602292951365,1150.7070415849107,1032.7343139186478,1217.9653122473453,1289.4081523036975,1431.3357911651667,1098.8464361023205,0.12708418571802207,0.04287091010530962,0.023303138064363,0.03835051273704274,0.03417480175913869,0.03463030457816029,821.9376470034221,1059.8764451821253,1296.609687868229,1218.7610139069054,1173.8592765214512,1312.4933187349577,816.3840971472737,0.034426442124604016,0.018173200802967894,0.00928127677083282,0.017481046695368204,0.023169219743884906,0.023321965225564564
10,843.0992096079005,917.2527546861363,1156.9545203874577,1622.8842535256115,1371.2786351989362,1414.3330431612978,1130.7957694372144,0.0680695187650447,0.040335312359788024,0.012661774105633752,0.014636923478143188,0.01784196972348525,0.046180032281331995,572.4853279064153,591.3995006075673,777.0108754745241,791.4332533418632,647.4612236451186,786.1331432742658,721.5147532363659,0.05505410151588248,0.024740368545399453,0.013324199571632398,0.017987200485589615,0.02018144723141926,0.03286494357332532
11,584.6111450935039,461.00084104433324,666.9445486579083,733.4250597876272,862.9028389016261,769.2859609734948,1046.9219896277991,0.12230579643175819,0.09101099260336384,0.03852108733123038,0.034586372089158865,0.041145371977208314,0.107896152858504,844.440247642147,773.1098601538371,1191.1247905652117,1191.3646433151325,1289.1844257457014,1121.3252993270432,929.5828735415926,0.028363010105889912,0.02422496445827899,0.019030924584100568,0.021528860668625725,0.029180951372552257,0.04440149116286698
12,749.9145476744192,921.1791431932797,1027.6813280461772,1283.3791694767474,1210.3036534854282,1369.4121780992455,860.9958566218188,0.12480446270632019,0.0448101774257064,0.019823107388156232,0.025194847630650778,0.02643173084433854,0.037879400729997105,585.737660266586,603.0873571491433,643.774580010573,596.2115982545981,660.4463115888153,806.4486071633138,872.3230532238488,0.07944881864589554,0.08574086986278232,0.02847003982038769,0.02895280184435304,0.03797188168320779,0.0562885409779896
13,891.078550126047,1016.986964399451,1270.872598180772,1265.9666245139374,1132.9523222322364,1235.8109189776878,1141.7513396727477,0.054553851623999235,0.03942206478148094,0.02076519196897413,0.02753414167375141,0.03202715875028448,0.04972454350787888,642.5101356088263,721.401751374612,714.409540745586,766.4073867298576,957.7558342612309,1024.660438296638,867.0168565269394,0.13419168674913382,0.06631757637812322,0.02265795829270217,0.029686807949743592,0.028110738621397763,0.03651182450760208
14,1159.1439911767445,1165.5346914345407,1215.1891616500982,1490.951632381799,1525.402345803071,1732.7882708387833,1178.134867956226,0.060584795690018296,0.031203790593850728,0.025365734115055136,0.02892746168156645,0.04451919119207418,0.030792462437410618,633.2578451808783,771.2590984706411,876.8611303642493,1062.6069765146922,795.1050073374612,1012.3276096655928,850.6784467934208,0.03568520902361747,0.024694021659190758,0.019277721477964648,0.017711955534661487,0.020049370897868294,0.03633508549501285
15,820.3504575045955,862.9635800717323,1078.7107387625424,962.5790524456721,1089.8506812485223,962.2338762042041,897.0687547250247,0.09208255565569201,0.03265657155416456,0.029510582638687825,0.03342881540012838,0.03224056871376989,0.05130104581323147,764.7236294151916,717.2286096382345,772.0073051210649,829.884903269885,830.3635762296443,946.2841242445953,845.3905874066078,0.1048922868108542,0.06390783183900427,0.03190633614961312,0.03756532728173225,0.0483701620763006,0.030550468652884476
16,625.3541225508692,726.4796536061043,843.7532437593501,1097.8108486691694,1106.6912250577627,1157.2830952630832,967.5857042744727,0.054357349779558264,0.0249393031335311,0.013791745022317113,0.024574039327456276,0.02861159394723111,0.04764487055049562,825.8214111258268,1000.3938166802214,1079.9405464714657,1228.7228663197025,1020.959027577654,1175.3559154840445,934.8496583229955,0.046308835602255446,0.02142291339664489,0.020124672204081175,0.024343387338929733,0.030339873039943132,0.02886782827212429
17,613.9050535623911,721.4802379972621,881.5677111477983,934.3076349562702,664.6973686383516,872.6747578779479,909.292744311386,0.08021057931127998,0.08642389842956961,0.04277386087774774,0.032124020843716294,0.04312042961730105,0.06463592670746332,853.9539119788307,945.6533160071924,1103.2617125242157,943.2024254429614,798.907214002834,906.1459631947588,910.5984143619823,0.07862139224734736,0.03236347180565179,0.013198676601929804,0.01896162991653259,0.01629530613863371,0.03244256349532233
18,763.9899091480117,839.5541545915878,1101.1404003882487,1386.7794824687917,1202.184264274483,1162.7605295960884,1057.8890843903062,0.05951171354886966,0.04022936141851051,0.016851879734364875,0.016210904976685137,0.0247395576308359,0.049243964715430785,665.9658147750445,773.1284755966211,964.9109697347521,1418.2863030287272,1361.7434416309861,1228.596454279418,863.2574643158724,0.055978533110432445,0.03558906244303586,0.017678873155906237,0.02128391310028213,0.0250646206226203,0.0370591771608075
19,968.1353201498628,1022.5501010270036,1183.8652702062307,1395.138525920708,1315.3631585848084,1470.793184668823,1146.7670796155342,0.07399492285101301,0.03298235372809581,0.020317761602621307,0.02625736953598994,0.031084101805849664,0.038107983235203126,760.4110951346377,824.7796581734854,1017.4983366633933,1415.057505792986,1195.34629216395,1259.1938840587732,940.6810832819236,0.04694152141876305,0.01600044879701717,0.015126635149996988,0.021677724034431026,0.02376650785543997,0.031182736169571946
20,862.0414271104132,873.3285443518728,778.3585450286381,988.8571094762741,1280.3634545362981,1155.3140171088394,1380.524261817206,0.1375411455034234,0.08715165205343857,0.03755119315096859,0.055879605202976766,0.041081434482775035,0.08619817430646774,464.1727406982283,637.8975798185255,594.7575869791115,819.0704567526964,839.1504677454581,852.598408843261,784.091709892104,0.05119538474639069,0.02883125639223815,0.019815864196534347,0.03010188979667468,0.020548875922527965,0.04312840299895977
21,589.0555076631542,690.6777906697596,797.2478850307327,994.4613671777214,1247.6367876740333,1221.007894511854,906.2380170418373,0.10842774221322532,0.041737798270678764,0.014589152904827447,0.02822049829261626,0.03727114875999921,0.042772356466114006,541.66926271819,745.055659156283,722.5190980761106,724.8469740018407,626.7129952015687,757.2116830943287,770.0061455721977,0.08210722408158565,0.04028524480675836,0.024011671912286946,0.02516903045929739,0.01762087625277784,0.05687258659787119
22,927.8345516496929,1162.5179215712994,1261.474574664006,1823.8043303739164,1742.087473224627,1854.1628027117374,1133.6796083877107,0.06561710764427467,0.022285238475798753,0.015396335793660329,0.02254993419880746,0.02912603300932801,0.0330071801893489,765.1163634107687,703.6272240577371,799.7947743028894,937.187588488525,1047.4191019041018,968.5575167630325,1058.4523658272758,0.05576418380700015,0.045319780354795364,0.029117333106929086,0.02653342173218493,0.028274139740600168,0.06013919263340592
23,949.7354819358526,1010.7001129428718,1029.4061521291464,1064.4331674866125,1031.1742152040479,1087.0458319812494,1077.5632157652497,0.1075110124723807,0.06346360476864231,0.04283697644972748,0.03334409134007303,0.028006332454017322,0.05047605582767065,452.8530962425999,606.0380308707215,715.6037023381722,948.1075155431583,908.1699615468744,954.5231376639207,800.5361567953711,0.08401477767088417,0.06822213215204435,0.01897869948463034,0.02791574852718381,0.045324759590373305,0.04686715945249706
24,810.7349874310803,785.9138991290785,1025.8151010113863,1581.1713429934398,1622.4674427060907,1579.1191772854552,1290.0244242554218,0.04440202321088377,0.02830406652422129,0.020809271229842247,0.02722540338284126,0.038735785217846104,0.06243414322627837,449.3957880529367,617.5025798879806,631.0369542042265,721.729036492458,800.8159395654878,753.2076823579309,668.3229559102069,0.07679093791962885,0.025593069059394145,0.016505997153288418,0.025438830173970767,0.018210634967570957,0.04654503189804678
25,1096.9729262475037,1184.123934706307,1226.9728338016969,1326.5473902154263,1535.1618900763815,1397.5710806425614,1399.7496536207457,0.07907354132921476,0.05668113003634817,0.04820035436511651,0.042083346945758486,0.03506937995600095,0.06736247465156785,809.1410933933823,1040.996910641515,923.6613691841227,1041.0079405472986,1094.6796646318883,1296.3327711857391,1159.5442806210897,0.06852091564109525,0.04017426325974952,0.03271391899178278,0.050452058627464394,0.03837270097399183,0.04605433318538938
